Date : 2026-06-12 15:42:09
Directory : /Volumes/ROG ESD/Git/fdp-neo/server/src
Total : 111 files,  13397 codes, 5456 comments, 3407 blanks, all 22260 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        111 |     13,397 |      5,456 |      3,407 |     22,260 |
+----------+------------+------------+------------+------------+------------+
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/limits.py                   | Python   |        122 |         22 |         32 |        176 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/logging.py                  | Python   |         91 |         48 |         27 |        166 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/namespaces.py               | Python   |         81 |         50 |         27 |        158 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/reserved.py                 | Python   |          4 |         17 |          5 |         26 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/security_headers.py         | Python   |         34 |         17 |         17 |         68 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/sparql_safety.py            | Python   |         42 |         36 |         14 |         92 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/shared/ssrf.py                     | Python   |         64 |         42 |         14 |        120 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/__init__.py                | Python   |          0 |         36 |          1 |         37 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/postgres/__init__.py       | Python   |          4 |         11 |          4 |         19 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/postgres/engine.py         | Python   |         17 |         27 |         12 |         56 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/postgres/models.py         | Python   |         18 |         25 |         12 |         55 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/postgres/types.py          | Python   |         15 |          8 |         10 |         33 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/triplestore/__init__.py    | Python   |          3 |          6 |          4 |         13 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/triplestore/adapter.py     | Python   |        200 |         94 |         37 |        331 |
| /Volumes/ROG ESD/Git/fdp-neo/server/src/fdp/storage/triplestore/conformance.py | Python   |         53 |         24 |         13 |         90 |
| Total                                                                          |          |     13,397 |      5,456 |      3,407 |     22,260 |
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
